pmid,title,abstract
41135348,Passenger lymphocyte syndrome: A rare cause of post-transplant hemolysis following minor ABO-incompatible living donor liver transplantation.,"Passenger lymphocyte syndrome (PLS) is a rare cause of sudden-onset hemolytic anemia 1-3 weeks after hematopoietic stem cell or solid organ transplantation. Early recognition is key as it informs transfusion protocols. Diagnostic is based on the detection of theses antibodies using direct antiglobulin test (DAT), elution and titration. When treatment is needed, antigen-negative transfusion is sufficient in most cases. Severe cases management includes glucocorticoids, rituximab, plasmapheresis and intravenous immunoglobulins. We report two cases of PLS in living donor liver transplant with minor ABO incompatibility. Both patients developed symptomatic anemia and required red blood cell transfusions, as well as escalation of immunosuppressive therapy."
41126705,[Acute vestibular syndrome].,"Acute vestibular syndrome (AVS) requires a systematic approach to differentiate between central and peripheral causes, as conditions like stroke and vestibular neuritis can present similarly. The head impulse, nystagmus, skew deviation, and hearing test examination (HINTS+) is effective in distinguishing strokes with high sensitivity. Most important for treatment of peripheral AVS includes vestibular rehabilitation, while central causes require targeted therapies. A multidisciplinary approach is essential for effective diagnosis and management in order to improve outcomes and quality of life, as argued in this review."
41114639,Foreign Accent Syndrome Caused by a Right Frontotemporal Meningioma: A Case Report.,"Foreign accent syndrome (FAS) is a rare speech disorder characterized by the unintended emergence of a foreign-sounding accent. While the precise pathophysiology of this syndrome has not been identified, FAS is thought to result from disruptions in pitch, inflection, stress, and articulation, leading listeners to perceive a foreign accent. It is most commonly associated with stroke, but can also result from traumatic brain injury, demyelinating disease, or neoplasm. We present the case of a 59-year-old, right-handed, native English-speaking female from West Virginia who developed FAS secondary to a right frontotemporal meningioma. Clinical assessment, imaging, and surgical records were reviewed to evaluate the etiology and course of her speech disturbance. Despite a complete and uncomplicated safe surgical resection, the speech disorder persisted. This outcome contrasts with other reported cases in which FAS resolved following treatment of the underlying lesion, suggesting potential irreversible disruption to the brain's speech networks. This case highlights the complexity of FAS and contributes to the growing evidence that the disorder may result from disruption of distributed cortical and subcortical speech networks, rather than a single anatomical site. Furthermore, it highlights the possibility of persistent deficits even after successful treatment of the underlying structural lesion. These findings emphasize the importance of early recognition, supportive communication strategies, and multidisciplinary care planning, particularly by bedside nurses and Advanced Practice Registered Nurses, to address both the neurologic and psychosocial impacts of persistent speech disturbances like FAS."
41108854,Mapping symptom networks at time of presentation with metastatic lung cancer: Age-related differences and insights from cluster analysis.,"Patients with metastatic lung cancer often experience significant symptom burden. This study aimed to describe baseline symptoms in adults with metastatic lung cancer at diagnosis, identify age-related differences, and examine symptom clusters and intercorrelations. This retrospective study analyzed Edmonton Symptom Assessment System scores from patients with newly diagnosed stage IV lung cancer (2015-2016). Patients were stratified by age (<65 vs ≥65 years). Descriptive statistics, generalized linear regression analysis, principal component analysis, and network analysis were used to examine symptom profiles and clustering. Of the 359 included patients, 213 (58.3%) were ≥ 65 years old. Median (interquartiles) total symptom distress score was 22 (11, 39). Two main symptom clusters emerged: physical (pain, tiredness, drowsiness, nausea, lack of appetite, shortness of breath) and psychological (depression, anxiety, wellbeing). No significant differences in overall symptom burden were found between age groups, except older patients reported worse lack of appetite (p = 0.04). Network analysis identified wellbeing, tiredness, and depression as central, highly interconnected symptoms across age groups. Older and younger patients with metastatic lung cancer experience a similar high symptom burden at diagnosis. Routine comprehensive symptom assessment is important for all age groups. The identified symptom clusters and central symptoms may help guide targeted supportive care interventions to improve quality of life in this population."
41105845,Inter-observer Reliability of Sacral Slope Measurements in Healthy Individuals: Implications for Hip-Spine Syndrome.,"Hip-spine syndrome is a complex condition characterized by concurrent degenerative pathologies of the hip and lumbar spine, often leading to significant morbidity. Accurate radiographic measurements are critical for diagnosing and managing this syndrome, particularly in the context of total hip arthroplasty. This study aimed to evaluate the interobserver reliability of sacral slope measurements on pelvic radiographs in healthy individuals to enhance diagnostic accuracy and treatment strategies. This cross-sectional study included 30 healthy volunteers (15 male, 15 female) aged 25 to 50 years, with no history of spinal, hip, or pelvic pathology. Lateral pelvic radiographs were taken in both standing and sitting positions. Sacral slope was measured by four independent observers, including radiologists and orthopaedic surgeons. Intraclass correlation coefficients with 95% confidence intervals (CIs) were calculated using linear mixed-effects models to assess interobserver reliability. Data analysis was performed using SAS and SPSS software. The mean sacral slope measurements for standing and sitting positions were as follows: observer 1 (standing: 39.59° ± 6.67°, sitting: 26.83° ± 10.84°), observer 2 (standing: 38.02° ± 6.76°, sitting: 22.11° ± 10.71°), observer 3 (standing: 41.15° ± 6.63°, sitting: 26.04° ± 12.48°), and observer 4 (standing: 39.53° ± 6.93°, sitting: 24.80° ± 12.00°). The intraclass correlation coefficient for standing sacral slope was 0.956 (95% CI, 0.916 to 0.978) and for sitting sacral slope was 0.974 (95% CI, 0.944 to 0.988), both indicating excellent interobserver reliability. Sacral slope measurements on lateral pelvic radiographs exhibit excellent interobserver reliability, making them reliable indicators of pelvic orientation. This reliability is crucial for the clinical utility of sacral slope as a metric for assessing spinopelvic alignment, particularly in the management of hip-spine syndrome and in patients undergoing total hip arthroplasty."
41102706,Targeting mitochondrial transporters and metabolic reprogramming for disease treatment.,"In the realm of cellular biochemistry, mitochondria have been increasingly recognized for their critical role in both cellular metabolism and the etiology of various diseases. Mitochondrial transporters (MTs) are essential for maintaining cellular energy dynamics and metabolic fluxes by facilitating the bidirectional transfer of metabolites across mitochondrial membranes. Dysregulation of these transporters, such as the mitochondrial pyruvate carrier (MPC), citrate carrier (SLC25A1), and voltage-dependent anion channel (VDAC), disrupts energy metabolism, redox balance, and cellular signaling, contributing to the pathogenesis of neurodegenerative diseases (NDDs), cardiovascular diseases (CVDs), type 2 diabetes (T2D), and cancer. In NDDs, impaired transporters exacerbate oxidative stress and neuronal death, while in CVDs, they lead to energy deficits and heart failure. In T2D, dysfunctional transporters like MPC and carnitine palmitoyltransferase (CPT) systems drive insulin resistance and metabolic dysregulation. In cancer, upregulated transporters such as citrate carrier (SLC25A1), and dicarboxylate carrier (SLC25A10) as well as metabolic shifts like the Warburg effect support tumor growth and survival. Targeting MTs and metabolic reprogramming (MR) offers significant therapeutic potential. Preclinical studies have demonstrated the efficacy of mitochondrial-targeted therapies (MTT), such as adenosine monophosphate-activated protein kinase (AMPK) activators and antioxidants, in restoring metabolic homeostasis and reducing disease pathology. In cancer, inhibitors of glutamine transporters and VDAC1 are being explored to disrupt tumor metabolism. Several therapies are advancing to clinical trials, including mitochondrial-targeted drugs for NDDs and metabolic modulators for T2D and cancer, highlighting their translational potential. Despite notable individual achievements and isolated reviews in this field, there remains a lack of comprehensive syntheses that integrate these advancements. This review seeks to combine the prevailing scientific evidence and outline prospective research trajectories. The gathered data robustly support the significant potential of targeting MTs as a groundbreaking approach in the treatment of complex diseases, with the potential to significantly improve health outcomes and mitigate disease progression."
41094664,An acute presentation of Wunderlich's syndrome with angiomyolipoma: a case report.,"Angiomyolipomas are often associated with tuberous sclerosis and are typically benign soft tissue tumors found incidentally on imaging. The main complication is retroperitoneal hemorrhagic rupture, leading to Wunderlich's syndrome. This case report presents a unique case of a 48-year-old Hispanic female patient with Wunderlich's syndrome displaying atypical symptoms, including hematemesis, abdominal pain, and nausea. The workup revealed significant anemia and renal failure. The patient had no known history of tuberous sclerosis. Computed tomography imaging showed retroperitoneal hemorrhage from bilateral angiomyolipomas, and the patient was treated with arterial embolization for stabilization. No further hemorrhage occurred during the hospitalization, and the patient was eventually discharged in stable condition. This report presents a case of Wunderlich's syndrome caused by hemorrhage of renal angiomyolipomas, presenting as a medical emergency. Although renal angiomyolipomas are rare benign tumors, complications such as bleeding can occur. Clinicians should consider renal angiomyolipomas in patients with acute renal failure, anemia, and abdominal pain to enable early diagnosis and treatment."
41084227,Klebsiella pneumoniae Invasive Syndrome without Liver Abscess: A Case Report.,"BACKGROUND Klebsiella pneumoniae invasive syndrome (KPIS), a rare severe multi-site infection, typically caused by hypervirulent Klebsiella pneumonia, has a high mortality rate, usually ranging from 10% for antimicrobial-sensitive strains to 24% for resistant strains, and often requires prolonged treatment. Most cases have been reported in East Asia, with a handful documented in India, to date. The incidence is also rising in Western countries. CASE REPORT We report the case of a 45-year-old Indian man who presented with fever, low back pain, and asymmetric arthralgia for the past 20 days, along with new acute-onset right-sided hemiparesis and slurred speech. Laboratory test results were significant for elevated leukocyte counts and inflammatory markers (ESR and CRP). MRI of the brain revealed multiple lesions, with accompanying hemorrhage and edema at grey white-matter junction. PET-CT revealed septic collections at multiple sites, including the spleen, kidney, left knee joint, and L5-L6 vertebrae, along with paravertebral and psoas abscesses. Cultures of vertebral abscess confirmed Klebsiella pneumoniae, with a positive string test, consistent with a hypermucoviscous phenotype; however, genetic testing for hypervirulent genes could not be performed, due to unavailability. Given these findings, KPIS diagnosis was likely. Treatment was 6 weeks of antibiotics, empiric vancomycin and gentamicin, followed by de-escalation to amoxicillin-clavulanic acid. CONCLUSIONS KPIS can occur in immunocompetent hosts and should be considered in cases of unexplained systemic inflammation with multifocal abscesses. Hepatic involvement, while characteristic, is not essential for diagnosis. When genotypic testing is unavailable, a positive string test can serve as a useful surrogate marker for identifying hypervirulent strains."
41081338,The Role of the Glass Ceiling Syndrome in Female Healthcare Workers and Its Association With Telogen Effluvium.,"Telogen effluvium (TE) type hair loss is the most common cause of diffuse and non-scarring alopecia in women and may develop on the basis of many etiological causes. Glass ceiling syndrome, which is a popular research topic especially in recent years, is one of the syndromes that define the invisible barriers that women face in their careers and can cause long-term stress during periods of exposure. Women working in the health sector are frequently exposed to the glass ceiling, and this situation has negative effects on skin health. The aim of the study is to investigate the relationship between glass ceiling syndrome-induced stress and telogen effluvium, which has not been examined before. In addition, another aim of the study is to determine the effect of socio-demographic variables such as age, gender, and education level on stress symptoms telogen effluvium. This study was conducted on 108 female participants working in University Hospitals. Questionnaires were used to determine how the participants experienced the glass ceiling syndrome, their professional and marital status, and their level of education. In addition, an examination including a pull test and trichoscopy for telogen effluvium disease was performed by specialized doctors. 56 (51.85%) of 108 female health workers were diagnosed with telogen effluvium. It was determined that 73 (67.59%) of them had glass ceiling experience. Of the 108 female health workers, 36 were doctors, 44 were nurses, and 28 were other health workers. Regarding their education levels, 36 of them have a master's degree, 18 have a bachelor's degree, 34 have an associate's degree, and 20 have a high school degree. As for marital status, 71 of them were married, 24 of them were single, and 13 of them were divorced. A significant statistical relationship was found between telogen effluvium and glass ceiling syndrome and education and occupational status. At the same time, a significant statistical relationship was found between glass ceiling experience and education and occupational status. Glass ceiling syndrome is statistically significantly associated with telogen effluvium in female health workers, and it is emphasized that this situation should not be neglected as a source of intense stress during treatment. In addition, professional and marital status and education levels are also seen to feed this intense stress source."
41068945,Efficacy of endovenous embolization for pelvic congestion syndrome and its impact on ovarian reserve.,"Pelvic congestion syndrome(PCS) is a complex condition, with ongoing controversies regarding its diagnosis, treatment, and long-term effects, especially concerning reproductive health. Endovenous embolization performed for PCS may alter pelvic hemodynamics and ovarian perfusion, which may change ovarian reserve and menstrual cycle characteristics. This study aimed to investigate the efficacy and impact of endovenous embolization on ovarian reserve and menstrual cycle parameters in patients with PCS. This retrospective, single-centre study analysed data from 81 patients diagnosed with PCS who underwent endovenous embolization. Symptom-specific Visual Analogue Scale(VAS) scores, serum anti-Müllerian hormone(AMH), follicle-stimulating hormone(FSH), luteinizing hormone(LH), estradiol(E2), prolactin levels, and menstrual cycle characteristics were evaluated before and 6 and 12 months after the procedure. The primary outcome of this study was improvement in symptoms. Secondary outcomes included changes in serum hormone levels and menstrual cycle characteristics. We categorized our study population into four age groups(< 30, 30-34, 35-39, and 40-44 years) to minimize the impact of age as a confounding variable. These groups were designated as G1, G2, G3, and G4, respectively. A statistically significant decrease was observed in VAS scores related to chronic pelvic pain(CPP), dyspareunia, and dysmenorrhea. A statistically significant decrease in serum AMH levels was observed 6 and 12 months after endovenous embolization. We observed a decline in AMH levels in G1, G2, G3, and G4(9.75±6.67%, 9.48±4.38%, 12.49±12.11%, and 13.79±11.46%, respectively). No significant changes were found in serum FSH, LH, E2, and prolactin levels. Additionally, a statistically significant decrease in menstrual cycle duration was detected after the procedure. Our study demonstrated that endovenous embolization appears to be an effective treatment modality for symptom relief. The effect of endovenous embolization on ovarian reserve was generally consistent with physiological changes associated with age, but changes in patients under the age of 30 should not be overlooked. Larger, prospective, multi-centre studies are warranted to validate these findings and explore the long-term effects of endovenous embolization regarding reproductive health. Not applicable."
41061454,Microablative and non-ablative laser and radiofrequency treatment of genitourinary syndrome of menopause: A randomised controlled trial with four different energies.,"This study compared the effects of four different types of energy treatments on women with genitourinary syndrome of menopause. Four-arm single-blind randomised clinical trial, with 48 postmenopausal women with genitourinary syndrome of menopause. Participants were randomised into four groups: Group 1 received sessions of non-ablative Er:YAG laser; Group 2 received sessions of microablative CO2 laser; Group 3 underwent sessions of non-ablative radiofrequency; and Group 4 received sessions of fractional microablative radiofrequency. The primary outcome was the assessment of symptoms of genitourinary syndrome of menopause correlated with vaginal histological analysis at baseline and 1 month after the end of treatment. Secondary outcomes included sexual function and urinary symptoms, treatment satisfaction and major adverse events. All treatment modalities demonstrated significant improvement in dryness (p < 0.001) and dyspareunia (p < 0.001) measured by visual analogue scales and in vaginal symptoms assessed with the International Consultation on Incontinence Questionnaire-Vaginal Symptoms (p < 0.001), with no significant differences between groups. All treatment energies resulted in significant increases in tissue thickness (p < 0.001), layer number (p < 0.001), and collagen quantity and depth (p < 0.001), with no significant difference among the groups. Both microablative and non-ablative energies, whether utilizing laser or radiofrequency, are effective treatments for the symptoms of genitourinary syndrome of menopause, with histological correlations observed and no notable differences in efficacy between modalities. Registered in REBEC (Registro Brasileiro de Ensaios Clínicos; Brazilian Registry of Clinical Trials). Trial registration number RBR-5vw3vpg. The protocol can be accessed at https://ensaiosclinicos.gov.br/rg/RBR-5vw3vpg."
41060401,Adjuvant-induced autoimmune syndrome (ASIA syndrome) and the role of sonography in its diagnosis: a case-based review.,"Adjuvant-induced autoimmune/ autoinflammatory syndrome (ASIA) is a group of symptoms that are often found in other systemic, autoimmune diseases, which makes its recognition and diagnosis a growing problem in modern clinical practice. Although not completely clear, the genesis is associated with adjuvants - substances found in implants, vaccines, substances external to the body that lead to an exaggerated immune response. Key points of the clinical and paraclinical specificity of the disease are arthralgias, myalgias, cognitive disorders, and positivity of various autoimmune and inflammatory markers. The objectives of this report are to summarize current information about the disease, discuss diagnostic criteria, and review therapeutic options, placing special interest on the ultrasound findings. The presented case outlines the diagnostic difficulty even with the various clinical, imaging, and laboratory findings. Directing clinical thought towards this syndrome is of utmost importance for its easier recognition in practice and achieving favorable outcomes in the treatment of affected patients."
41043814,Headache and Neurological Deficits with Cerebrospinal Fluid Lymphocytosis in a Helicopter Pilot.,"The syndrome of transient headache and neurological deficits with cerebrospinal fluid lymphocytosis (HaNDL syndrome) consists of migraine-like headache episodes with >4 h of hemiparesthesia, dysphasia, and/or hemiparesis plus cerebrospinal fluid lymphocytic pleocytosis. While the rarity of HaNDL syndrome often precludes reassurance of the nature of this syndrome, it has consistently been identified as a benign condition that lasts no longer than 3 mo. In the first week of a viral illness, a 29-yr-old male helicopter pilot experienced acute-onset ""stumbling"" when walking, ""nonsensical speech,"" migraine-like headache, scintillating scotomata, and paresthesias of the tongue and bilateral extremities that lasted for 4-6 h. Work-up included lumbar puncture, revealing lymphocytic pleocytosis. A week later, he experienced word-finding difficulty, right-sided numbness/paresthesia, and severe occipital headache lasting 3 h. A third episode with sensory symptoms involving the tongue and right arm and leg occurred for a few hours 25 d after the onset of the first episode. Symptoms resolved spontaneously. A month following initial discharge, he denied symptom recurrence. Repeat lumbar puncture 4 mo later showed resolution of his pleocytosis. He was considered neurologically recovered 3 mo after symptom onset. This patient's transient episodes were consistent with HaNDL syndrome. His symptom resolution involving three episodes within 25 d reflects the transient nature of this condition. It is critical to recognize HaNDL syndrome as a benign, monophasic disorder that resolves within a maximum of 3 mo so that future pilots with a recent history of HaNDL syndrome may safely and expeditiously return to work. Wetmore EL, Haddon R, Robertson CE, Cowl CT, Elkhatib WY, Garza I. Headache and neurological deficits with cerebrospinal fluid lymphocytosis in a helicopter pilot. Aerosp Med Hum Perform. 2025; 96(10):936-939."
41043140,Identification of Syndrome Types in Patients With Pancreatic Cancer From Free Text in Electronic Medical Records: Model Development and Validation.,"Syndrome differentiation is crucial in traditional Chinese medicine (TCM) diagnosis and treatment, but it heavily relies on expert experience, limiting systematic standardization. This study developed and validated a BERT (bidirectional encoder representations from transformers)-based model, the traditional Chinese medicine pancreatic cancer syndrome differentiation bidirectional encoder representations from transformers (TCMPCSD-BERT), using in-house pancreatic cancer medical records, to digitalize expert knowledge and support standardized syndrome differentiation in TCM. A retrospective dataset of pancreatic cancer cases (2011-2024) from Fudan University Shanghai Cancer Center was annotated into 4 TCM syndrome types by 2 experts (Cohen κ=0.913). The proposed TCMPCSD-BERT model was compared with conventional models (long short-term memory and text convolutional neural network) embedded in TCM diagnostic tools and with large language models (LLMs; ChatGPT-4o, Kimi, Ernie Bot 4.0 Turbo, and Zhipu Qingyan) under a prompt engineering framework. Performance evaluation on in-house data was supplemented with attention visualizations and integrated gradients analyses for interpretability. The McNemar test assessed classification accuracy differences, while bootstrap 95% CIs quantified statistical uncertainty and stability. The Welch t test (2-tailed) was used to evaluate mean differences between TCMPCSD-BERT and the comparator models. Among 6830 records, case counts were damp-heat syndrome (n=1694), spleen-deficiency syndrome (n=1185), damp-heat with spleen-deficiency syndrome (n=1178), and others (n=2773). On the test set, McNemar test showed significantly higher accuracy for TCMPCSD-BERT than the 3 baseline models and generally better performance than LLMs. In all comparisons, TCMPCSD-BERT achieved higher mean macroprecision, macrorecall, macro-F<sub>1</sub>-score, and accuracy, with nonoverlapping 95% bootstrap CIs and significant Welch t test results (P<.01). The model achieved a macroprecision of 0.935 (95% CI 0.918-0.951), macrorecall of 0.921 (95% CI 0.900-0.942), macro-F<sub>1</sub>-score of 0.927 (95% CI 0.908-0.945), and accuracy of 0.919 (95% CI 0.899-0.939). Attention visualizations suggested the model could capture less common TCM term associations, while integrated gradients highlighted high-attribution diagnostic features (eg, ""gray-white stool"" 0.933 in damp-heat syndrome; ""indigestion"" 1.204 in spleen-deficiency syndrome). Misclassification analyses indicated challenges in handling overlapping or atypical symptom presentations. Compared with LLMs, web-based platforms, and diagnostic instruments, TCMPCSD-BERT appeared to provide relatively higher accuracy, interpretability, and efficiency in processing long unstructured texts for syndrome differentiation. The TCMPCSD-BERT model shows potential for automated syndrome differentiation from unstructured clinical texts and broader application in TCM. Based on this study, it appears to improve operability over 4-diagnostic instruments and web-based platforms, and offers greater stability and accuracy than LLMs in specific tasks. However, these findings should be interpreted cautiously, given the subjectivity of syndrome definitions, data imbalance, and reliance on preprocessed, expert-annotated data. Further studies involving larger and more diverse populations are needed to validate its generalizability and support its broader application in real-world settings."
41042383,"Utility of invasive intracranial pressure monitoring in children with craniosynostosis: relationship to clinical assessment, syndrome and surgical treatment.","This is a retrospective study investigating intracranial pressure monitoring (ICPM) as a tool for managing children with craniosynostosis. We report on our experience of chronic (≥24 hour) ICP measurement in patients with CS and related conditions, with the aim of statistically assessing the relationship between ICP and derived variables to clinically relevant patient characteristics, such as clinical/ophthalmological symptoms/signs, diagnosis, syndrome and surgical management. It is a single-centre study following 32 patients who underwent ICP monitoring over 24-72 h. We collected a consecutive series of children (aged < 18 years) who underwent invasive ICPM between 1st Jan 2019 and 31st December 2021 from our institution's electronic surgical database. All patients had either craniosynostosis or foramen magnum pathology. We excluded children with non-CS diagnoses, except those with non-CS-related foramen magnum stenosis (FMS) who were used as comparative controls. Statistical analysis included the Kruskal-Wallis test to compare median ICP results between craniosynostosis and foramen magnum pathology, surgery vs non-surgical management, and differences in syndromic subgroups. A Spearman correlation was used to determine the relation of ICPM results to presentation symptoms. Results showed that patients who underwent surgery had a higher ICPM than those that did not. They also showed that patients with CS had higher ICP when compared to foramen magnum pathologies. Results also showed differences in pulse altitude (PA) in different subtypes of CS, although not statistically significant, and a mild correlation of PA with certain presenting symptoms of CS deterioration. In conclusion, our study shows that ICP and PA are safe and useful tools that can differentiate between craniosynostosis and similar pathology, as well as correlate to symptomatology. Furthermore, the data in this study can help us understand what a 'well' ICP is, in patients with various CS conditions, which differs from a ""signature"" raised ICP in patients close to decompensation. ICP can therefore be a valuable tool in surgical decision making, in conjunction with clinical correlation."
41029523,Case series of aripiprazole monotherapy in bipolar disorder with delayed sleep-wake phase syndrome.,"Patients with bipolar disorder (BD) who also experience delayed sleep-wake phase (DSWP) disorder/syndrome may tend to be younger, have a higher risk of relapse, and exhibit more severe impairments in social functioning. However, few studies have explored this area, and there are currently no established treatment guidelines, prompting us to investigate this further through a case series. We report on a chart review of 15 patients diagnosed with bipolar disorder (BD) and delayed sleep-wake phase (DSWP) syndrome, who received Aripiprazole (APZ) monotherapy for 12 to 135 weeks. Efficacy was observed within the first two weeks, indicated by reductions in Clinical Global Impressions-Severity (CGI-S) scores and an advancement of the sleep-wake cycle. By the final visit, 93.3% (14/15) of participants had achieved clinical remission (defined as CGI-S < 3), with their social functioning returning to normal. The most common adverse events were extrapyramidal side effects and weight gain, but both were reversible. In summary, APZ monotherapy may be an effective and safe treatment option for BD patients with DSWP syndrome. Our chart review highlights the potential value of further systematic investigation through a clinical trial."
41026118,Executive Summary: The AUA/SUFU/AUGS Guideline on Genitourinary Syndrome of Menopause.,"Genitourinary syndrome of menopause (GSM) describes the symptoms and physical changes that result from declining estrogen and androgen concentrations in the genitourinary tract during the menopausal transition. This guideline provides information to clinicians regarding identification, diagnosis, counseling, and treatment for patients with GSM to optimize symptom control and quality of life while minimizing adverse events. The systematic review used in the creation of this guideline is based on research conducted by the Minnesota Evidence-based Practice Center (EPC) under contract to the Agency for Healthcare Research and Quality and funded by the Patient Centered Outcomes Research Institute. The EPC synthesized effectiveness and/or harms outcomes from 68 publications. An additional 66 articles evaluating 46 nonhormonal interventions were described in an evidence map. Clinicians diagnose GSM based on symptoms, with or without related physical findings, and after ruling out other etiologies or co-occurring pathologies. There is a large body of evidence examining the use of hormonal and nonhormonal treatment options to manage the symptoms of GSM; however, the local low-dose vaginal estrogen has the most robust evidence base. The strategies defined in this document were derived from evidence-based and consensus-based processes. Given that there is insufficient information to recommend one hormonal therapy over another, this guideline is not meant to support a stepwise progression through different hormonal approaches. The clinician should make treatment decisions in the context of shared decision-making, considering patient goals and preferences, using the evidence of efficacy and adverse events of each possible intervention as a guide."
41025760,[Strongyloides hyperinfection syndrome during high-malignant lymphoma treatment].,"Strongyloides hyperinfection syndrome, caused by the nematode Strongyloides stercoralis, is a life-threatening condition with a high mortality rate. This case report describes a 76-year-old woman who developed hyperinfection syndrome with gastrointestinal- and pulmonary symptoms shortly after her first round of chemotherapy for stage IV diffuse large B-cell lymphoma. Despite her advanced age and frailty, she survived both the severe parasite infection and the two-month hospital stay, in addition to managing the challenges posed by the advanced-stage lymphoma."
41020464,Subtle Manifestation of Lower Cavernous Sinus Syndrome as the Initial and Sole Presentation of Pterygopalatine Squamous Cell Carcinoma Invasion from the Skull Base: A Case Report.,"We present a case highlighting the critical role of early recognition of partial cavernous sinus syndrome (CSS), as diagnostic delay can lead to irreversible tumor progression. A 50-year-old woman presented with subtle binocular diplopia and facial tingling sensation for 1 month. Neurological examination revealed isolated right abducens nerve (VI) palsy and paresthesia at territories of right ophthalmic (V1) and maxillary (V2) nerves. Partial CSS was suspected. Brain magnetic resonance image (MRI) revealed a contrast-enhancing mass involving the pterygopalatine fossa, sphenoid, and maxillary sinuses extending into the cavernous sinus. Fiberscope biopsy confirmed nonkeratinizing squamous cell carcinoma (SCC). After consultation with otolaryngologist, concurrent chemoradiation as the initial treatment modality was suggested. We describe an uncommon etiology of CSS by pterygopalatine SCC invasion, presenting initially as subtle cranial nerve palsies. Involvement of lower anatomical structures in cavernous sinus and ""mandibular sparing"" can be a hint of invasive lesion from pterygopalatine fossa. This case emphasizes the importance of high clinical suspicion for partial CSS, as early recognition can have great impact on patient's prognosis."
41019765,Lance-Adams Syndrome: An Updated Review of a Rare Post-Hypoxic Complication.,"This review aims to provide a comprehensive understanding of Lance-Adams Syndrome (LAS), focusing on its pathophysiology, diagnosis, management, and patient outcomes. Utilizing the PICO framework, articles describing known cases of LAS and interventions were included, with no specific comparisons. The search was conducted in Google Scholar, PubMed, and Scopus databases. LAS is characterized by action myoclonus and related symptoms. Imbalances in neurotransmitters and involvement of brain areas like the cerebellum, thalamus, and basal ganglia play a role in its pathophysiology. Diagnosis primarily relies on symptom history post-anoxic events, and treatments vary in effectiveness. LAS generally carries a more favorable functional prognosis than early post-anoxic status myoclonus, but often remains chronic and disabling. LAS is a complex and rare neurological condition requiring early diagnosis and specific interventions. The compiled information provides a comprehensive overview, assisting clinicians in understanding and managing LAS. This review emphasizes the need for ongoing research and individualized patient care strategies, seeking to enhance overall patient quality of life."
41014051,"Impact of Vaginal Carbon Dioxide Laser Therapy Alone Versus Its Combination With Oral Bioactive Collagen Peptides, Ultra-Low Molecular Weight Hyaluronic Acid, and Other Functional Components on the Genitourinary Syndrome of Menopause: A Cohort Pilot Study in Italy.","Genitourinary syndrome of menopause (GSM) includes clinical manifestations attributed to estrogen deficiency affecting the genitourinary tract of postmenopausal women. Treatment may require a multifaceted approach, including patient education, lifestyle modifications, physical, as well as hormonal and non-hormonal therapies. To evaluate the efficacy and tolerability of vaginal CO<sub>2</sub> laser therapy (MonaLisa Touch) combined with an oral food supplement containing bioactive collagen peptides (BCP) and other functional components for GSM treatment. We hypothesized that this combination would enhance GSM symptom relief. Twenty postmenopausal women with GSM were divided into two groups. Group 1 (n = 10) underwent three sessions of vaginal CO<sub>2</sub> laser treatment alone, while Group 2 (n = 10) received the same laser treatment in addition to oral food supplementation. Improvements in vaginal health (Vaginal Health Index-VHI), vaginal pain (Visual Analogue Scale-VAS), and sexual function (Female Sexual Function Index-FSFI), along with patient satisfaction and tolerability, were evaluated. Both groups showed improvements in VHI, pain scores, and FSFI, with Group 2 displaying more significant gains. Compared to Group 1, Group 2 had greater median differences in VHI (Δ = 11.00 vs. Δ = 8.50, p = 0.005) and VAS (Δ = -7.00 vs. Δ = -5.50, p = 0.017). Similarly, FSFI scores increased meaningfully in both groups, more so in Group 2 (from 53.50 to 67.50, p = 0.005 vs. from 51.50 to 60.50, p = 0.014 in Group 1). Treatment satisfaction was also higher in Group 2 (p = 0.047). The addition of oral supplementation with BCP and other functional components to vaginal CO<sub>2</sub> laser treatment for GSM offered significant benefits over laser treatment alone, improving vaginal health, reducing pain, and ameliorating sexual function. This combination therapy presents a promising non-hormonal option for GSM management, warranting further investigation in larger, long-term studies to confirm these preliminary findings."
41009528,"One Syndrome, Many Faces: A Unified Perspective on Heart Failure Phenotypes.","Heart failure (HF) remains a major clinical syndrome traditionally classified by left ventricular ejection fraction (EF) into three phenotypes: reduced (HFrEF), mildly reduced (HFmrEF), and preserved (HFpEF). Although EF-based phenotyping has served as a practical framework for diagnosis and treatment stratification, growing evidence challenges its pathophysiological specificity. Clinical trials often blur these categories by including patients with EF > 40% under the HFpEF umbrella, despite current guidelines reserving that range for HFmrEF. This inconsistency introduces ambiguity and undermines the concept of discrete disease entities. In this comprehensive review, we explore the hypothesis that HF is not a group of separate syndromes but rather a single entity manifesting along a spectrum determined by the balance between pathological insult and the patient's homeostatic adaptive capacity. Emerging data reveal that all HF phenotypes, regardless of EF, share common molecular, cellular, and systemic mechanisms, including neurohormonal activation, inflammation, mitochondrial dysfunction, fibrosis, and programmed cell death. We propose a paradigm shift: from viewing HF through the lens of EF stratification to a unified, mechanistically driven model that recognizes HF as a syndrome with variable manifestations. Reframing HF in this way could enhance diagnostic precision, therapeutic targeting, and research design."
